Datum,Uhrzeit,Unternehmen,Kurs_EUR
2025-07-01,14:00:00,Allianz_SE,343.5
2025-07-01,14:30:00,Allianz_SE,344.1000061035156
2025-07-01,15:00:00,Allianz_SE,344.20001220703125
2025-07-01,15:30:00,Allianz_SE,345.1000061035156
2025-07-01,16:00:00,Allianz_SE,344.29998779296875
2025-07-01,16:30:00,Allianz_SE,344.0
2025-07-01,17:00:00,Allianz_SE,343.29998779296875
2025-07-02,09:00:00,Allianz_SE,342.8999938964844
2025-07-02,09:30:00,Allianz_SE,341.8999938964844
2025-07-02,10:00:00,Allianz_SE,342.0
2025-07-02,10:30:00,Allianz_SE,341.70001220703125
2025-07-02,11:00:00,Allianz_SE,341.29998779296875
2025-07-02,11:30:00,Allianz_SE,342.1000061035156
2025-07-02,12:00:00,Allianz_SE,342.1000061035156
2025-07-02,12:30:00,Allianz_SE,342.70001220703125
2025-07-02,13:00:00,Allianz_SE,342.70001220703125
2025-07-02,13:30:00,Allianz_SE,342.3999938964844
2025-07-02,14:00:00,Allianz_SE,341.1000061035156
2025-07-02,14:30:00,Allianz_SE,341.0
2025-07-02,15:00:00,Allianz_SE,341.79998779296875
2025-07-02,15:30:00,Allianz_SE,340.6000061035156
2025-07-02,16:00:00,Allianz_SE,340.70001220703125
2025-07-02,16:30:00,Allianz_SE,341.20001220703125
2025-07-02,17:00:00,Allianz_SE,341.29998779296875
2025-07-03,09:00:00,Allianz_SE,342.6000061035156
2025-07-03,09:30:00,Allianz_SE,343.1000061035156
2025-07-03,10:00:00,Allianz_SE,343.29998779296875
2025-07-03,10:30:00,Allianz_SE,343.70001220703125
2025-07-03,11:00:00,Allianz_SE,343.79998779296875
2025-07-03,11:30:00,Allianz_SE,342.70001220703125
2025-07-03,12:00:00,Allianz_SE,343.1000061035156
2025-07-03,12:30:00,Allianz_SE,342.8999938964844
2025-07-03,13:00:00,Allianz_SE,343.5
2025-07-03,13:30:00,Allianz_SE,343.5
2025-07-03,14:00:00,Allianz_SE,343.6000061035156
2025-07-03,14:30:00,Allianz_SE,343.3999938964844
2025-07-03,15:00:00,Allianz_SE,343.29998779296875
2025-07-03,15:30:00,Allianz_SE,343.79998779296875
2025-07-03,16:00:00,Allianz_SE,343.0
2025-07-03,16:30:00,Allianz_SE,343.0
2025-07-03,17:00:00,Allianz_SE,343.8999938964844
2025-07-04,09:00:00,Allianz_SE,343.0
2025-07-04,09:30:00,Allianz_SE,343.0
2025-07-04,10:00:00,Allianz_SE,342.29998779296875
2025-07-04,10:30:00,Allianz_SE,341.20001220703125
2025-07-04,11:00:00,Allianz_SE,341.3999938964844
2025-07-04,11:30:00,Allianz_SE,342.0
2025-07-04,12:00:00,Allianz_SE,341.8999938964844
2025-07-04,12:30:00,Allianz_SE,341.3999938964844
2025-07-04,13:00:00,Allianz_SE,341.79998779296875
2025-07-04,13:30:00,Allianz_SE,341.3999938964844
2025-07-04,14:00:00,Allianz_SE,341.6000061035156
2025-07-04,14:30:00,Allianz_SE,341.79998779296875
2025-07-04,15:00:00,Allianz_SE,342.0
2025-07-04,15:30:00,Allianz_SE,342.70001220703125
2025-07-04,16:00:00,Allianz_SE,342.70001220703125
2025-07-04,16:30:00,Allianz_SE,342.1000061035156
2025-07-04,17:00:00,Allianz_SE,342.0
2025-07-08,09:00:00,Allianz_SE,349.1000061035156
2025-07-08,09:30:00,Allianz_SE,349.79998779296875
2025-07-08,10:00:00,Allianz_SE,348.8999938964844
2025-07-08,10:30:00,Allianz_SE,349.0
2025-07-08,11:00:00,Allianz_SE,349.6000061035156
2025-07-08,11:30:00,Allianz_SE,349.29998779296875
2025-07-08,12:00:00,Allianz_SE,349.70001220703125
2025-07-08,12:30:00,Allianz_SE,349.70001220703125
2025-07-08,13:00:00,Allianz_SE,349.3999938964844
2025-07-08,13:30:00,Allianz_SE,349.0
2025-07-08,14:00:00,Allianz_SE,348.6000061035156
2025-07-08,14:30:00,Allianz_SE,348.29998779296875
2025-07-08,15:00:00,Allianz_SE,349.0
2025-07-08,15:30:00,Allianz_SE,350.1000061035156
2025-07-08,16:00:00,Allianz_SE,350.79998779296875
2025-07-08,16:30:00,Allianz_SE,350.29998779296875
2025-07-08,17:00:00,Allianz_SE,350.29998779296875
2025-07-09,09:00:00,Allianz_SE,354.3999938964844
2025-07-09,09:30:00,Allianz_SE,353.79998779296875
2025-07-09,10:00:00,Allianz_SE,355.6000061035156
2025-07-09,10:30:00,Allianz_SE,355.29998779296875
2025-07-09,11:00:00,Allianz_SE,357.5
2025-07-09,11:30:00,Allianz_SE,358.0
2025-07-09,12:00:00,Allianz_SE,358.20001220703125
2025-07-09,12:30:00,Allianz_SE,357.8999938964844
2025-07-09,13:00:00,Allianz_SE,358.5
2025-07-09,13:30:00,Allianz_SE,358.5
2025-07-09,14:00:00,Allianz_SE,356.1000061035156
2025-07-09,14:30:00,Allianz_SE,356.70001220703125
2025-07-09,15:00:00,Allianz_SE,357.3999938964844
2025-07-09,15:30:00,Allianz_SE,357.20001220703125
2025-07-09,16:00:00,Allianz_SE,355.8999938964844
2025-07-09,16:30:00,Allianz_SE,355.79998779296875
2025-07-09,17:00:00,Allianz_SE,355.6000061035156
2025-07-10,09:00:00,Allianz_SE,355.8999938964844
2025-07-10,09:30:00,Allianz_SE,355.70001220703125
2025-07-10,10:00:00,Allianz_SE,355.29998779296875
2025-07-10,10:30:00,Allianz_SE,355.70001220703125
2025-07-10,11:00:00,Allianz_SE,355.8999938964844
2025-07-10,11:30:00,Allianz_SE,355.29998779296875
2025-07-10,12:00:00,Allianz_SE,355.5
2025-07-10,12:30:00,Allianz_SE,355.1000061035156
2025-07-10,13:00:00,Allianz_SE,354.6000061035156
2025-07-10,13:30:00,Allianz_SE,354.0
2025-07-10,14:00:00,Allianz_SE,353.70001220703125
2025-07-10,14:30:00,Allianz_SE,352.3999938964844
2025-07-10,15:00:00,Allianz_SE,352.0
2025-07-10,15:30:00,Allianz_SE,350.79998779296875
2025-07-10,16:00:00,Allianz_SE,350.29998779296875
2025-07-10,16:30:00,Allianz_SE,348.3999938964844
2025-07-10,17:00:00,Allianz_SE,348.1000061035156
2025-07-11,09:00:00,Allianz_SE,349.29998779296875
2025-07-11,09:30:00,Allianz_SE,348.79998779296875
2025-07-11,10:00:00,Allianz_SE,347.1000061035156
2025-07-11,10:30:00,Allianz_SE,346.1000061035156
2025-07-11,11:00:00,Allianz_SE,346.29998779296875
2025-07-11,11:30:00,Allianz_SE,345.70001220703125
2025-07-11,12:00:00,Allianz_SE,345.29998779296875
2025-07-11,12:30:00,Allianz_SE,345.70001220703125
2025-07-11,13:00:00,Allianz_SE,346.6000061035156
2025-07-11,13:30:00,Allianz_SE,346.70001220703125
2025-07-11,14:00:00,Allianz_SE,346.1000061035156
